imagepath,label,dataset
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2382.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1018.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9709.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6377.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3776.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2982.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6216.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4558.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8385.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1245.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7428.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9604.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1051.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1324.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5612.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4175.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5899.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9342.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3137.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7732.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7160.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5902.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3345.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3539.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5176.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3484.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2005.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9633.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_707.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3239.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5976.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8445.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9639.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9969.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7000.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9137.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2088.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_789.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7353.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_692.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6302.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9020.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4488.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_10.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4848.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3635.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7017.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7685.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_89.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8866.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_872.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3603.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7671.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7523.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9685.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6722.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3503.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_986.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_204.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4254.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3436.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4692.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3428.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5503.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1572.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6969.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2214.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6640.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8174.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9749.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1333.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2755.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5672.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6472.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_148.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5441.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6953.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7849.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1868.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_820.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9232.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4097.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2328.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4170.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7881.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3738.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2283.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7141.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_895.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4326.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8577.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7669.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6703.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3496.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5554.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6184.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9381.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6341.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8909.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7753.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2015.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6775.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1541.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5401.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6535.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6603.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2475.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3681.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7770.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8647.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2614.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2591.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9076.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1730.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6191.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8791.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1918.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4379.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1398.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8098.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3644.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8287.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5865.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2264.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1793.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9697.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6820.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3178.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2426.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5954.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1685.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8730.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1532.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5807.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_456.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6101.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6493.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8673.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9658.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6619.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8614.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2829.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3290.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8750.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1148.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5222.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1089.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8460.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9283.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6354.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6193.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3267.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9447.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1682.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4065.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8603.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2070.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9708.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3370.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2596.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6838.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3429.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3646.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3066.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2456.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_573.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5716.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8192.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1128.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4731.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9311.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_678.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2656.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4328.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_631.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1653.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6754.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7467.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9936.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1179.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1826.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_835.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1766.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4975.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7225.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6677.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6309.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_196.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8469.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5507.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5292.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_168.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7124.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8613.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7749.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7561.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4834.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1357.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2695.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4031.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3605.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5340.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5605.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9329.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7377.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4070.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6099.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7516.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2837.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8814.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_232.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_93.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7358.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5614.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6568.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9345.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1819.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4986.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9070.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8107.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1960.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1725.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4431.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9048.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9132.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3988.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3885.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_509.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8381.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9140.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4200.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8591.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7696.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_546.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5320.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2397.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3277.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5532.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6398.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2403.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1739.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4496.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_48.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4530.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_516.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2613.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7542.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3081.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6241.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6556.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6726.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6794.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2276.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3448.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6569.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4451.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4021.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7178.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_521.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1160.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5276.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5239.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7426.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8099.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6674.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1990.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2999.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5349.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5870.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4555.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6913.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3907.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3383.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3021.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9080.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_7723.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5989.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8759.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8178.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1763.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_3293.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4502.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_2520.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8180.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1286.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_4651.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1311.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1629.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_817.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_6120.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9486.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_1199.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_5225.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9759.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8218.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_9160.jpg,glass,train
/content/drive/Shareddrives/yeja/Garbage classification/glass_copy/tri_0_8382.jpg,glass,train
